CONTACT_ID,no_of_sales_12M_1,no_of_Redemption_12M_1,no_of_sales_12M_10K,no_of_Redemption_12M_10K,no_of_funds_sold_12M_1,no_of_funds_redeemed_12M_1,no_of_fund_sales_12M_10K,no_of_funds_Redemption_12M_10K,no_of_assetclass_sold_12M_1,no_of_assetclass_redeemed_12M_1,no_of_assetclass_sales_12M_10K,no_of_assetclass_Redemption_12M_10K,No_of_fund_curr,No_of_asset_curr,AUM,sales_curr,sales_12M,redemption_curr,redemption_12M,new_Fund_added_12M,aum_AC_EQUITY,aum_AC_FIXED_INCOME_MUNI,aum_AC_FIXED_INCOME_TAXABLE,aum_AC_MONEY,aum_AC_MULTIPLE,aum_AC_PHYSICAL_COMMODITY,aum_AC_REAL_ESTATE,aum_AC_TARGET,aum_P_529,aum_P_ALT,aum_P_CEF,aum_P_ETF,aum_P_MF,aum_P_SMA,aum_P_UCITS,aum_P_UIT,refresh_date
4442998,1,4,,2,1,2,,1,1,1,,1,3,1,442292.465,,9795.31,-21955.89,-26932.2,,-9322.225,451614.69,0,0,0,0,0,0,0,0,0,0,442292.465,0,0,0,12/31/2018
10751172274140853094,1,1,1,,1,1,1,,1,1,1,,1,1,16911.35,,17000,,-5588.65,,0,16911.35,0,0,0,0,0,0,0,0,0,0,16911.35,0,0,0,12/31/2018
85101120603604318575,,1,,,,1,,,,1,,,,,-1049.38,,,,-1049.38,,-1049.38,0,0,0,0,0,0,0,0,0,0,0,-1049.38,0,0,0,12/31/2018
4462472,93,18,16,2,8,4,4,2,2,2,1,2,14,3,1799352.58,15614.375,823419.855,-10534.64,-45249.815,2,121314.245,1672897.935,5140.4,0,0,0,0,0,0,0,0,0,636616.505,1162736.075,0,0,12/31/2018
85102150813727937276,,,,,,,,,,,,,,,-31694.97,,,,,,0,0,-31694.97,0,0,0,0,0,0,0,0,0,-31694.97,0,0,0,12/31/2018
4314571,31,27,6,3,4,2,2,1,3,2,2,1,5,2,525746.48,,165638.82,-16539.21,-74792.86,,-20667.75,165473.35,0,0,380940.88,0,0,0,0,0,0,0,620349.59,-94603.11,0,0,12/31/2018
0190899,11,9,,2,1,2,,1,1,2,,1,4,,-2816036.34,,8945.65,,-46113.41,,-2631986.42,-63416.33,0,0,-120633.59,0,0,0,0,0,0,0,471938.34,-3287974.68,0,0,12/31/2018
85101110805781504597,,,,,,,,,,,,,,,-29561.73,,,,,,0,-9941.82,-19619.91,0,0,0,0,0,0,0,0,0,-29561.73,0,0,0,12/31/2018
4435053,46,55,,1,7,14,,1,3,3,,1,11,2,280976.565,2745.28,38862.67,-11823.975,-62935.545,2,213879.215,76738.015,-9640.665,0,0,0,0,0,0,0,0,0,182154.345,98822.22,0,0,12/31/2018
4461878,48,164,4,4,5,5,1,2,3,2,1,1,5,1,-2415858.105,751.935,190734.2206,-576962.7498,-1371865.488,1,-2293333.553,-135416.5817,12892.03,0,0,0,0,0,0,0,0,0,804680.0303,-3220538.135,0,0,12/31/2018
4484671,9,54,,2,4,5,,2,2,2,,2,8,4,305862.3003,,14121.32478,-3.505,-77980.61013,,223045.5798,12482.2917,32117.18718,0,38217.24159,0,0,0,0,0,0,0,305862.3003,0,0,0,12/31/2018
10751182883962425731,11,,,,1,,,,1,,,,,,1036.89,,964.89,,,,1036.89,0,0,0,0,0,0,0,0,0,0,0,1036.89,0,0,0,12/31/2018
85102112166080334692,,,,,,,,,,,,,1,1,18263.03,,,,,,0,0,0,0,18263.03,0,0,0,0,0,0,0,18263.03,0,0,0,12/31/2018
10761172185051616862,3,2,,,2,1,,,1,1,,,1,1,8281.115,334.06,895.385,,-4098.36,1,8281.115,0,0,0,0,0,0,0,0,0,0,0,8281.115,0,0,0,12/31/2018
0983908,,,,,,,,,,,,,,,-101275.85,,,,,,0,-101275.85,0,0,0,0,0,0,0,0,0,0,-101275.85,0,0,0,12/31/2018
0037809,4,3,4,3,2,2,2,2,1,1,1,1,5,1,-37575.295,,290006.02,,-406657.63,1,-177056.295,144835.58,0,0,0,-5354.58,0,0,0,0,0,0,67582.605,-105157.9,0,0,12/31/2018
85102113713647083972,14,11,2,3,1,1,1,1,1,1,1,1,1,1,149550.7237,2628.21,52276.46,-583.06,-53258.99,,164435.09,1679.088741,0,0,-16563.455,0,0,0,0,0,0,0,149550.7237,0,0,0,12/31/2018
4334987,89,67,30,6,6,4,3,1,3,3,2,1,18,4,3350949.048,381533.56,1455895.15,-4188.309617,-266381.805,,48764.47973,2224043.366,625508.468,0,452632.7338,0,0,0,0,0,1140213.8,0,2210735.248,0,0,0,12/31/2018
4361165,1,5,1,4,1,4,1,3,1,2,1,1,1,1,7077.27,,25000,,-93354.98,,0,8154.53,-1077.26,0,0,0,0,0,0,0,0,0,7077.27,0,0,0,12/31/2018
4479339,2,26,,,1,2,,,1,1,,,,,-30157.41,2838.95,854,,-26441.64,,-30157.41,0,0,0,0,0,0,0,0,0,0,0,-30157.41,0,0,0,12/31/2018
0338284,1,6,1,1,1,4,1,1,1,3,1,1,4,,-64366.8305,,11000,,-48089.475,,-24375.86778,-20351.755,-19639.20772,0,0,0,0,0,0,0,0,0,-69578.6505,5211.82,0,0,12/31/2018
4322170,,,,,,,,,,,,,,,-45421.53,,,,,,-1085.81,-44335.72,0,0,0,0,0,0,0,0,0,0,-45421.53,0,0,0,12/31/2018
85101133205008204648,30,39,,1,2,2,,1,1,1,,1,,,-191771.52,4501.41,16396.98,-106841.58,-45778.25,,-72487.75,-119283.77,0,0,0,0,0,0,0,0,0,0,-191771.52,0,0,0,12/31/2018
0139748,21,15,9,8,4,5,4,4,2,3,2,3,7,3,1236999.01,30000,202412.33,-93708.06,-258546.24,2,22267.33,1216050.36,52550.27,0,-53868.95,0,0,0,0,0,0,0,1236999.01,0,0,0,12/31/2018
10761172326971431365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/31/2018
0262972,,,,,,,,,,,,,1,1,45198.39,,,,,,0,-85480.59,130678.98,0,0,0,0,0,0,0,0,0,45198.39,0,0,0,12/31/2018
85102110093287378367,,,,,,,,,,,,,,,-153448.39,,,,,,-53549.93,-99898.46,0,0,0,0,0,0,0,0,0,0,-153448.39,0,0,0,12/31/2018
85201123105641899730,,,,,,,,,,,,,,,-5284.91,,,,,,0,-251.73,-14.97,0,-5018.21,0,0,0,0,0,0,0,-5284.91,0,0,0,12/31/2018
10761182374260732304,,1,,,,1,,,,1,,,,,-1894.34,,,,-1894.34,,-1894.34,0,0,0,0,0,0,0,0,0,0,0,-1894.34,0,0,0,12/31/2018
0117478,,,,,,,,,,,,,2,2,-231880.67,,,,,,296325.55,-553206.22,25000,0,0,0,0,0,0,0,0,0,-531759.67,299879,0,0,12/31/2018
10751171795285606005,65,,,,5,,,,1,,,,3,1,45946.6,790.07,7871.18,,,2,0,0,30.18,0,0,0,0,45916.42,45946.6,0,0,0,0,0,0,0,12/31/2018
4449127,,,,,,,,,,,,,1,1,61450.76,,,,,,61450.76,0,0,0,0,0,0,0,0,0,0,0,0,61450.76,0,0,12/31/2018
0267438,808,404,15,23,8,9,5,5,3,3,3,3,13,3,1528253.361,2785.468092,1085017.801,-789902.6031,-1047029.162,,-938035.6441,1628977.199,478675.4445,0,358636.3617,0,0,0,0,0,0,0,680675.1429,847578.2182,0,0,12/31/2018
85202141754921832037,6,9,,1,2,1,,1,1,1,,1,,,-32615.04,631.29,7427.75,,-29395.95,1,-28873.75,0,0,0,-3741.29,0,0,0,0,0,0,0,-32615.04,0,0,0,12/31/2018
85201110378216437645,,,,,,,,,,,,,4,1,598049.48,,,,,,-17028.49,615077.97,0,0,0,0,0,0,0,0,0,0,598049.48,0,0,0,12/31/2018
4417405,,,,,,,,,,,,,,,-13771.97,,,,,,0,-13771.97,0,0,0,0,0,0,0,0,0,0,-13771.97,0,0,0,12/31/2018
4354093,4,23,,,2,1,,,1,1,,,1,,-76764.99,1339.22,2075.49,,-6852.61,2,2632.64,-77724.68,-1672.95,0,0,0,0,0,0,0,0,0,-76764.99,0,0,0,12/31/2018
0180969,239,139,64,20,4,7,3,3,2,3,2,2,4,3,24807789.67,94504.57,5217478.725,-212431.6,-1871757.895,1,24638697.09,33931.825,0,0,0,135160.75,0,0,0,0,0,0,423486.665,24384303,0,0,12/31/2018
4456046,,3,,,,1,,,,1,,,,,-49947.1,,,,-13251.04,,-44216.59,-5730.51,0,0,0,0,0,0,0,0,0,0,-49947.1,0,0,0,12/31/2018
10751172754578531500,,,,,,,,,,,,,1,1,87938.03,,,,,,0,87938.03,0,0,0,0,0,0,0,0,0,0,87938.03,0,0,0,12/31/2018
10751173145163436288,4,4,,,4,1,,,3,1,,,2,2,17928.285,14947.735,4675.35,-1030.685,-664.115,4,8287.575,9710.055,-69.345,0,0,0,0,0,0,0,0,0,17928.285,0,0,0,12/31/2018
4361328,,,,,,,,,,,,,1,,-144948.19,,,,,,0,-144948.19,0,0,0,0,0,0,0,0,0,0,-144948.19,0,0,0,12/31/2018
4361397,134,110,,6,8,10,,4,3,3,,2,19,4,1739062.326,176882.7468,155778.7666,-69798.8376,61307.27835,1,410691.7742,755158.9322,565004.1069,0,0,0,0,8207.5125,0,0,82223.59875,0,946409.2683,470647.8885,0,239781.5703,12/31/2018
4425286,,,,,,,,,,,,,,,-132990.78,,,,,,0,-132990.78,0,0,0,0,0,0,0,0,0,0,-132990.78,0,0,0,12/31/2018
4396315,19,26,2,6,3,2,2,1,3,1,2,1,6,2,2487216.19,,185153.905,-24445.695,-216358.105,1,-6174.49,2364137.985,129252.695,0,0,0,0,0,0,0,0,0,475195.585,2012020.605,0,0,12/31/2018
85101142093414509345,,,,,,,,,,,,,,,-1720.74,,,,,,-1720.74,0,0,0,0,0,0,0,0,0,0,0,-1720.74,0,0,0,12/31/2018
0237681,,,,,,,,,,,,,1,1,187881.29,,,,,,191035.08,0,0,0,-3153.79,0,0,0,0,0,0,0,0,187881.29,0,0,12/31/2018
10751192513410355842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/31/2018
0255390,374,252,105,19,1,5,1,4,1,3,1,2,5,2,8649718.56,1660810,3505761.5,-63439.805,-1336652.07,,9398288.146,-1233097.673,484528.0865,0,0,0,0,0,0,0,0,0,8603310.7,46407.86,0,0,12/31/2018
85102141613070859043,,,,,,,,,,,,,,,344.78,,,,,,0,0,344.78,0,0,0,0,0,0,0,0,0,344.78,0,0,0,12/31/2018
0354082,,,,,,,,,,,,,6,1,1887132.11,,,,,,2168735.94,-274676.22,-6927.61,0,0,0,0,0,0,0,0,0,-281524.77,0,0,2168656.88,12/31/2018
0346970,187,13,57,1,2,5,1,1,1,3,1,1,5,2,1815439.347,10112.01536,1785284.937,-8771.916054,-41130.69319,1,41919.31832,1776733.991,-3213.961905,0,0,0,0,0,0,0,0,0,1778165.055,37274.2922,0,0,12/31/2018
0348426,,,,,,,,,,,,,8,4,1729303.67,,,,,,264234.17,891607.5,430512,0,142950,0,0,0,0,0,1465069.5,0,-26280.92,290515.09,0,0,12/31/2018
0057441,2,2,1,,2,2,1,,2,2,1,,4,2,218167.21,14356.325,255000,-1306.5,-771.41,2,81841.295,184328.425,-22495.87,0,-25506.64,0,0,0,0,0,0,0,-90526.385,290271.99,0,18421.605,12/31/2018
85101112823303762378,,,,,,,,,,,,,,,-74079.94,,,,,,-74079.94,0,0,0,0,0,0,0,0,0,0,0,-74079.94,0,0,0,12/31/2018
10751200154504269131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/31/2018
0261614,90,159,37,11,3,5,2,3,2,2,1,2,4,2,16383696.18,47594.19,5159767.93,-66558.04,-1568261.05,,1122.28,16348143.45,34430.455,0,0,0,0,0,0,0,0,0,-15852.145,16399548.33,0,0,12/31/2018
85201120714548087630,5,6,,,2,2,,,2,2,,,,,-786.13,,2281.87,,-2295.25,2,0,-787.41,1.28,0,0,0,0,0,0,0,0,0,-786.13,0,0,0,12/31/2018
10761182085842339087,1,,1,,1,,1,,1,,1,,1,1,132091,,132091,,,1,0,132091,0,0,0,0,0,0,0,0,0,0,0,132091,0,0,12/31/2018
85201141113574751524,,,,,,,,,,,,,,,-11572.21,,,,,,-1010.56,0,-10561.65,0,0,0,0,0,0,0,0,0,-11572.21,0,0,0,12/31/2018
0171644,,,,,,,,,,,,,1,1,23211.25,,,,,,-42502.22,1693.47,64020,0,0,0,0,0,0,0,64020,0,-40808.75,0,0,0,12/31/2018
10761192515412739919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/31/2018
4359000,,,,,,,,,,,,,3,2,489193.46,,,,,,312078.13,177115.33,0,0,0,0,0,0,0,0,0,0,489193.46,0,0,0,12/31/2018
4303762,6,3,1,,3,3,1,,2,2,1,,4,2,195975.8064,,35952.54525,,-2402.183674,,32501.43859,172600.2793,0,0,-9125.911484,0,0,0,0,0,0,0,205101.7178,-9125.911484,0,0,12/31/2018
85102110184866439410,,,,,,,,,,,,,,,-13164.63,,,,,,0,-13164.63,0,0,0,0,0,0,0,0,0,0,-13164.63,0,0,0,12/31/2018
4415191,,,,,,,,,,,,,,,-2597.27,,,,,,3212.94,-5810.21,0,0,0,0,0,0,0,0,0,0,3212.94,-5810.21,0,0,12/31/2018
85201142343125790546,6,4,,,6,3,,,2,2,,,2,1,12218.91,,5638.94,,-4059.15,6,692,0,-1984.38,0,0,0,0,13511.29,13511.29,0,0,0,-1292.38,0,0,0,12/31/2018
4455467,112,62,4,3,3,3,3,2,2,2,2,2,3,2,211118.78,16558.325,210668.375,-3763.465,-329693.755,2,29229.9,181888.88,0,0,0,0,0,0,0,0,0,0,68212.37,142906.41,0,0,12/31/2018
00872121366879233173,,,,,,,,,,,,,,,-11829.27,,,,,,-11829.27,0,0,0,0,0,0,0,0,0,0,0,-11829.27,0,0,0,12/31/2018
10761172634982188073,12,6,1,1,3,3,1,1,3,2,1,1,1,1,5045.42,13460.66,34930.1,,-25428.1,1,-9669.88,-25213.41,44520.42,0,-4591.71,0,0,0,0,0,0,0,5045.42,0,0,0,12/31/2018
0259694,,,,,,,,,,,,,1,1,724521.89,,,,,,724521.89,0,0,0,0,0,0,0,0,0,0,0,0,724521.89,0,0,12/31/2018
0260125,10,12,6,3,2,3,1,3,2,2,1,2,7,2,80959.83,823.28,169344.73,-67962.145,-81170.125,,146776.67,117914.745,-59724.68,0,-124006.905,0,0,0,0,0,0,0,-268837.68,349797.51,0,0,12/31/2018
0262251,,,,,,,,,,,,,,,-7695049.45,,,,,,-7695049.45,0,0,0,0,0,0,0,0,0,0,0,0,-7695049.45,0,0,12/31/2018
85101142074054055447,4,3,,1,1,2,,1,1,1,,1,,,-339090.54,,8427,,-33586.72,1,-313930.82,0,-25159.72,0,0,0,0,0,0,0,0,0,-339090.54,0,0,0,12/31/2018
